text,label
Mode men or have you left.,Normal
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,Spam
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,Normal
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",Normal
Can you use foreign stamps for whatever you send them off for? ,Normal
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",Spam
Yup bathe liao...,Normal
Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,Normal
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,Spam
"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)",Normal
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,Spam
"I dont knw pa, i just drink milk..",Normal
The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,Normal
"Sir, i am waiting for your call.",Normal
Then why you came to hostel.,Normal
That was random saw my old roomate on campus. He graduated,Normal
Ugh fuck it I'm resubbing to eve,Normal
I liked the new mobile,Normal
I dont know ask to my brother. Nothing problem some thing that. Just i told .,Normal
"K, wait chikku..il send aftr  &lt;#&gt; mins",Normal
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Normal
Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,Normal
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,Normal
I keep ten rs in my shelf:) buy two egg.,Normal
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",Normal
Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,Spam
What time you thinkin of goin?,Normal
Yupz... I've oredi booked slots 4 my weekends liao... ,Normal
I can take you at like noon,Normal
Haf u eaten? Wat time u wan me 2 come?,Normal
Yes :)it completely in out of form:)clark also utter waste.,Normal
"G says you never answer your texts, confirm/deny",Normal
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,Spam
No de.am seeing in online shop so that i asked.,Normal
You still coming tonight?,Normal
Prepare to be pleasured :),Normal
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",Normal
"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",Normal
No calls..messages..missed calls,Normal
"Yup, leaving right now, be back soon",Normal
U too...,Normal
I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?,Normal
Have you not finished work yet or something?,Normal
Hey now am free you can call me.,Normal
Hope you are feeling great. Pls fill me in. Abiola,Normal
Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,Spam
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,Normal
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",Normal
"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",Normal
Hmm ill have to think about it... ok you're forgiven! =D,Normal
Audrie lousy autocorrect,Normal
S:)s.nervous  &lt;#&gt; :),Normal
Actually i'm waiting for 2 weeks when they start putting ad.,Normal
How much did ur hdd casing cost.,Normal
2/2 146tf150p,Spam
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,Spam
Aight do you still want to get money,Normal
Its not the same here. Still looking for a job. How much do Ta's earn there.,Normal
Still work going on:)it is very small house.,Normal
Jokin only lar... :-) depends on which phone my father can get lor...,Normal
FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,Spam
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",Spam
Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,Normal
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",Spam
No probably  &lt;#&gt; %.,Normal
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,Normal
What's your room number again? Wanna make sure I'm knocking on the right door,Normal
K sure am in my relatives home. Sms me de. Pls:-),Normal
Buy one egg for me da..please:),Normal
So when you gonna get rimac access ,Normal
Mm not entirely sure i understood that text but hey. Ho. Which weekend?,Normal
Lol now I'm after that hot air balloon!,Normal
Are you willing to go for aptitude class.,Normal
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,Normal
Speak only when you feel your words are better than the silence... Gud mrng:-),Normal
"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",Normal
True. Its easier with her here.,Normal
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,Spam
How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already …,Normal
No chikku nt yet.. Ya i'm free,Normal
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,Spam
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",Normal
Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,Normal
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",Spam
I like dis sweater fr mango but no more my size already so irritating.,Normal
"Sure, I'll see if I can come by in a bit",Normal
So what did the bank say about the money?,Normal
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,Spam
K I'll be sure to get up before noon and see what's what,Normal
